printing_temperature,feed_rate,printing_speed,Height,Width,FEA_ANN_mean(MPa),FEA_ANN_std(MPa),ANN_mean(MPa),ANN_std(MPa),Experiment_mean(MPa),Experiment_std(MPa)
180,30,800,0.38620606,0.46244577,273.4229162,53.23328517,398.37992,23.126788,391.5,21.7186288
185,30,800,0.39422598,0.46304977,274.6855996,41.09678705,387.49954,16.821686,393,22.1428433
190,30,800,0.3996784,0.46074563,271.958286,24.55430771,384.86564,11.765977,377.666667,36.33937675
195,30,800,0.40579557,0.4631132,262.8950296,11.23169109,385.4419,7.6462533,360.166667,31.71599845
200,30,800,0.42347214,0.47624183,272.5781806,18.05346411,377.26957,7.283074,358.25,32.7095332
205,30,800,0.43167856,0.4807658,287.4070763,20.0833324,368.3909,7.0990613,372.1,31.3461854
210,30,800,0.43445316,0.47034213,283.1511399,12.93640361,364.35428,5.7364,354,47.4337293
215,30,800,0.44192114,0.461968,278.8663812,16.76758662,363.68155,6.9848914,365.2,77.8712425
220,30,800,0.44632053,0.46853137,284.1599075,17.89542448,361.84412,9.254516,391.444444,64.40331795
225,30,800,0.445331,0.47913283,273.6371477,15.25190916,356.01524,11.156468,360,34.7931836
230,30,800,0.44184843,0.48503014,278.7766097,7.590354108,346.05592,12.164377,345.714286,14.3942992
235,30,800,0.442745,0.48138806,285.3276335,9.755988076,341.986,13.122547,337.857143,34.54860525
240,30,800,0.4470044,0.48249218,285.3125278,15.45797752,335.94623,14.988432,319,18.7266991
245,30,800,0.45448115,0.4802926,289.0894043,15.35062811,332.20768,17.041069,321,165.0970706
250,30,800,0.46432087,0.4784779,301.1290036,15.89769996,334.03113,19.615117,335.5,108.0027403
210,30,100,0.49114895,0.44608065,286.1834226,10.25116485,314.5308,12.142,310.5,62.712909
210,30,600,0.45107394,0.4644978,275.7404368,12.44814348,360.49536,7.5376974,326,63.5310237
210,30,1100,0.4240741,0.4826697,276.9925757,5.038636543,340.58928,5.1670205,333.5,69.8841261
210,30,1600,0.43559492,0.48659357,318.6890053,10.47330577,342.75934,8.909486,375.5,95.2965355
210,30,2100,0.42142335,0.48610392,332.954925,8.041017022,359.15503,13.262309,436,69.2446425
210,30,2600,0.40273556,0.47646162,310.3994433,10.70461631,400.56294,16.71696,405.5,23.253148
210,30,3100,0.3904631,0.4791066,289.3857111,9.580816667,398.71618,17.821943,394,139.7682521
210,30,3600,0.3645945,0.47967905,270.548935,15.16162547,387.5802,17.849471,392,165.1806616
210,30,4100,0.33742973,0.48405758,222.4738208,13.47330577,380.49755,17.116742,367.5,44.4717166
210,18,1500,0.28693983,0.32965106,35.49457468,14.35068451,86.34497,22.4972,145.5,57.17792131
210,21,1500,0.3285167,0.3802264,83.67594137,13.72253307,138.20803,18.330796,186,25.4124095
210,24,1500,0.36815447,0.43862626,144.1121396,11.21934969,182.23132,14.024621,227,114.3558426
210,27,1500,0.41115576,0.4758812,203.7146578,23.57239559,289.76685,9.933107,295,34.215368
210,30,1500,0.43594778,0.48647106,269.5182222,12.35068451,338.96646,8.193441,312,50.8248189
210,33,1500,0.45849508,0.5193641,306.1998833,15.79862794,340.06542,8.442479,335,64.323734
210,36,1500,0.47687566,0.6475286,381.4192402,7.164680989,424.66837,13.723376,382,63.567439
210,39,1500,0.49172318,0.74309164,484.1747587,39.54085484,515.52755,19.606149,481,45.366876
210,42,1500,0.51470476,0.8200772,587.5621444,78.49550739,563.8878,27.680308,513,77.584345
190,20,1200,0.31306988,0.3594161,272.6238091,24.132318,256,19.377586,281.85,19.377586
195,20,1200,0.322277,0.36587813,269.8084877,20.627134,246.3,18.354048,276.85,18.354048
200,20,1200,0.32977375,0.37107092,269.433757,17.387121,225.5,17.758781,271.85,17.758781
205,20,1200,0.33759612,0.3762351,253.2808848,14.404145,217.8,17.315134,266.85,17.315134
210,20,1200,0.34307408,0.37925056,242.406711,11.63562,222,16.677622,261.85,16.677622
200,16,1200,0.28351694,0.32669812,224.5456,19.298124,162.6,22.921402,252.65,22.921402
200,18,1200,0.30681625,0.3493868,237.6241871,18.21689,194.1,20.339035,262.25,20.339035
200,20,1200,0.32977375,0.37107092,269.433757,17.387121,225.5,17.758781,271.85,17.758781
200,22,1200,0.35227022,0.3921196,270.4724241,16.389452,261.9,15.231774,281.45,15.231774
200,24,1200,0.37354833,0.41322702,276.0487017,15.591976,285.5,13.146434,291.05,13.146434
200,20,800,0.33937362,0.3595754,240.648783,17.858067,246.4,16.666756,258.65,16.666756
200,20,1000,0.33421478,0.3650635,254.2536284,17.53672,236,17.163473,265.85,17.163473
200,20,1200,0.32977375,0.37107092,269.4337572,17.387121,225.5,17.758781,271.85,17.758781
200,20,1400,0.3262449,0.3773652,283.6061565,17.388767,218.1,18.332052,276.65,18.332052
200,20,1600,0.32269588,0.38321698,290.5015446,17.461767,211,18.95478,280.25,18.95478
